From,To,Route,Summer_2022,Winter_2022_23,Summer_2023,Winter_2023_24,Latitude_Start,Longitude_Start,Country_Start,LandPart_Start,Distance_to_coastline_Start,GDP_per_capita_2021_Start,Population_50km_Start,Latitude_End,Longitude_End,Country_End,LandPart_End,Distance_to_coastline_End,GDP_per_capita_2021_End,Population_50km_End,Alternative_available,Immigrants_in_End_from_Start,Immigrants_in_Start_from_End,Route_distance,Tourist_Atractiveness,Economic_Atractiveness,Family_travel_Atractiveness,Latitude_min,GDP_per_capita_2021_min,GDP_per_capita_2021_max,Distance_to_coastline_min,Population_50km_max,Population_50km_min,Both_Summers,Both_Winters,Both_Summers_weekly,Both_Winters_weekly
Zadar (ZAD),Naples (NAP),Zadar (ZAD) - Naples (NAP),35,0,0,0,44.108261,15.34669,Croatia,1,6.196562882,13000,191415.8921,40.886028,14.29078,Italy,1,4.814727265,20400,4865825.823,1,22000,3000,369.023619,0.726598522,0.26262875,0.010772728,40.886028,13000,20400,40.886028,4865825.823,191415.8921,35,0,0.546875,0
Palma de Mallorca (PMI),Valladolid (VLL),Palma de Mallorca (PMI) - Valladolid (VLL),89,0,123,0,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,41.706108,-4.85194,Spain,1,188.8874218,27600,580537.4411,0,0,5000,684.4105488,0.862235306,0.135616931,0.002147763,39.55167,26600,27600,39.55167,906926.6876,580537.4411,212,0,3.3125,0
Valladolid (VLL),Palma de Mallorca (PMI),Valladolid (VLL) - Palma de Mallorca (PMI),89,0,124,0,41.706108,-4.85194,Spain,1,188.8874218,27600,580537.4411,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,0,5000,684.4105488,0.862235306,0.135616931,0.002147763,39.55167,26600,27600,39.55167,906926.6876,580537.4411,213,0,3.328125,0
Zagreb (ZAG),Gothenburg (GOT),Zagreb (ZAG) - Gothenburg (GOT),82,42,62,68,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,57.665951,12.282685,Sweden,1,21.54853708,50900,1163305.866,1,11000,1000,1352.236911,0.753328572,0.240921009,0.005750419,45.742931,12600,50900,45.742931,1407776.53,1163305.866,144,110,2.25,2.75
Thessaloniki (SKG),Bratislava (BTS),Thessaloniki (SKG) - Bratislava (BTS),93,41,123,51,40.519718,22.970949,Greece,1,1.025797733,14600,1271202.742,48.170158,17.21266,Slovakia,1,377.8896832,39000,1259466.066,1,1000,1000,966.549938,0.815766666,0.183731314,0.00050202,40.519718,14600,39000,40.519718,1271202.742,1259466.066,216,92,3.375,2.3
Bratislava (BTS),Thessaloniki (SKG),Bratislava (BTS) - Thessaloniki (SKG),93,41,123,51,48.170158,17.21266,Slovakia,1,377.8896832,39000,1259466.066,40.519718,22.970949,Greece,1,1.025797733,14600,1271202.742,1,1000,1000,966.549938,0.815766666,0.183731314,0.00050202,40.519718,14600,39000,40.519718,1271202.742,1259466.066,216,92,3.375,2.3
Klagenfurt (KLU),Palma de Mallorca (PMI),Klagenfurt (KLU) - Palma de Mallorca (PMI),0,0,93,0,46.642509,14.33773,Austria,1,111.1625525,46200,654007.6596,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,0,12000,8000,1227.421075,0.800872927,0.189651233,0.00947584,39.55167,26600,46200,39.55167,906926.6876,654007.6596,93,0,1.453125,0
Gothenburg (GOT),Zagreb (ZAG),Gothenburg (GOT) - Zagreb (ZAG),82,44,62,68,57.665951,12.282685,Sweden,1,21.54853708,50900,1163305.866,45.742931,16.068769,Croatia,1,118.1297986,12600,1407776.53,1,1000,11000,1352.236911,0.753328572,0.240921009,0.005750419,45.742931,12600,50900,45.742931,1407776.53,1163305.866,144,112,2.25,2.8
Palma de Mallorca (PMI),Klagenfurt (KLU),Palma de Mallorca (PMI) - Klagenfurt (KLU),0,0,93,0,39.55167,2.738808,Spain,5,2.485606237,26600,906926.6876,46.642509,14.33773,Austria,1,111.1625525,46200,654007.6596,0,8000,12000,1227.421075,0.800872927,0.189651233,0.00947584,39.55167,26600,46200,39.55167,906926.6876,654007.6596,93,0,1.453125,0
Krakow (KRK),Memmingen (FMM),Krakow (KRK) - Memmingen (FMM),0,0,62,44,50.077728,19.78483,Poland,1,453.0006045,11200,2514042.449,47.988609,10.239444,Germany,1,328.8717369,40600,1352283.594,1,2142000,101000,733.8579988,0.332521347,0.121091686,0.546386967,47.988609,11200,40600,47.988609,2514042.449,1352283.594,62,44,0.96875,1.1
